property_name,address,city,state,zip_code,apn,property_type,retail_subtype,total_sqft,available_sqft,lot_size_sqft,status,off_market_signal,source_url,source_name,contact_name,contact_phone,contact_email,asking_price,lease_rate,notes,confidence_score,completeness_score,captured_at
,44441 SIERRA HWY,,CA,,3134-030-006,Retail,"Store with residential, mixed",666.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1210 (Store with residential, mixed); SIZE=666 sqft; YEAR_BUILT=1947; LAST_SALE=2022-08-15; LAST_SALE_PRICE=$475,004; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433086Z
,1610 S GRAND AVE,,CA,,8643-003-037,Retail,"Store, retail",960.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=960 sqft; YEAR_BUILT=1962; LAST_SALE=2022-08-15; LAST_SALE_PRICE=$600,006; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433106Z
,654 SHOPPERS LN,,CA,,8451-001-041,Retail,Single-tenant retail,2160.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1500 (Single-tenant retail); SIZE=2160 sqft; YEAR_BUILT=1954; LAST_SALE=2022-08-16; LAST_SALE_PRICE=$650,006; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433117Z
,2301 BEVERLY BLVD,,CA,,5157-011-022,Retail,Shopping center / strip retail,7696.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1700 (Shopping center / strip retail); SIZE=7696 sqft; YEAR_BUILT=1962; LAST_SALE=2022-08-16; LAST_SALE_PRICE=$6,000,060; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433127Z
,5225 N FIGUEROA ST,,CA,,5468-017-027,Retail,"Store with residential, mixed",2928.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1210 (Store with residential, mixed); SIZE=2928 sqft; YEAR_BUILT=1905; LAST_SALE=2022-08-16; LAST_SALE_PRICE=$1,300,013; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433135Z
,9883 ALONDRA BLVD,,CA,,6274-026-037,Retail,"Store, retail",1639.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=1639 sqft; YEAR_BUILT=1962; LAST_SALE=2022-08-17; LAST_SALE_PRICE=$4,050,040; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433144Z
,43145 SIERRA HWY,,CA,,3128-005-031,Retail,Use code 1820,5704.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1820 (Use code 1820); SIZE=5704 sqft; YEAR_BUILT=1950; LAST_SALE=2022-08-17; LAST_SALE_PRICE=$4,250,042; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433152Z
,4342 PECK RD,,CA,,8548-001-012,Retail,"Store with residential, mixed",1800.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1210 (Store with residential, mixed); SIZE=1800 sqft; YEAR_BUILT=1948; LAST_SALE=2022-08-17; LAST_SALE_PRICE=$1,500,015; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433174Z
,39950 10TH ST W,,CA,,3005-048-023,Retail,Single-tenant retail,16961.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1500 (Single-tenant retail); SIZE=16961 sqft; YEAR_BUILT=2004; LAST_SALE=2022-08-18; LAST_SALE_PRICE=$6,650,066; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433184Z
,2639 S LA CIENEGA BLVD,,CA,,5065-006-001,Retail,"Store, retail",5830.0,,,Owner-Held Retail Parcel (Not Listed),owner_held_retail,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_sales_parcels/MapServer/0,la_pais,,,,,,"USECODE=1100 (Store, retail); SIZE=5830 sqft; YEAR_BUILT=1953; LAST_SALE=2022-08-18; LAST_SALE_PRICE=$6,250,062; YEARS_HELD=3.7",0.55,0.7142857142857143,2026-04-28T19:12:34.433192Z
